filename,level,part_type,item_number,mfg_part_number,item_description,type,conductor,number_pairs,insulation,jacket,shielding,wire_gauge,diameter,putup,color,stranding,kevlar_core,pitch
10012-0703_E_MfgBOMReport.xls,0,Cable and Wire,10012-0703,E        C51116,"CABLE ASSY, ANT PA CONTROL",coax,,,,,,,,,,,No,
10012-0705_G_MfgBOMReport.xls,0,Cable and Wire,10012-0705,G        C10831,"CABLE ASSY, SHIELDED 6 CONDUCTOR",tubing,,,,,,,,,,,No,
10012-0705-01_G_MfgBOMReport.xls,0,Cable and Wire,10012-0705-01,G,"CABLE ASSY, SHIELDED 6 CONDUCTOR",flat,,,,,,,,,,,No,
10012-0712_C_MfgBOMReport.xls,0,Cable and Wire,10012-0712,C        DL000195,"CABLE ASSY, 12 CONDUCTOR SHIELDED",Hook up,,,,,,,,,,,No,
10075-1276_C_MfgBOMReport.xls,0,Cable and Wire,10075-1276,C,WIRE HIGH VOLTAGE,,,,,,,,,,,,No,
10075-9100-05_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-05,AC        C55535,"CABLE, OVERMOLDED, 6-22 AWG SGL BRAID SHLD",multi,6,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,B,6-22awg,0.29,,,,No,
10075-9100-06_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-06,AC        C55535,"CABLE, OVERMOLDED, 12-24 AWG SGL BRAID SHLD",multi,12,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,B,12-24awg,0.34,,,,No,
10075-9100-07_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-07,AC        C55535,"CABLE, OVERMOLDED, 19-24 AWG SGL BRAID SHLD",multi,19,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,B,19-24awg,0.375,,,,No,
10075-9100-08_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-08,AC        C55535,"CABLE, OVERMOLDED, 4-24 AWG DBL SHLD BRAID/FOIL",multi,4,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,4-24awg,0.276,,,,No,
10075-9100-09_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-09,AC        C55535,"CABLE, OVERMOLDED, 12-24 AWG DBL SHLD BRAID/FOIL",multi,12,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,12-24awg,0.347,,,,No,
10075-9100-13_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-13,AC        C55535,"CABLE, OVERMOLDED, 4-16 AWG SGL BRAID SHLD",multi,4,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,B,4-16awg,0.45,,,,No,
10075-9100-14_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-14,AC        C55535,"CABLE, OVERMOLDED, 6-22 AWG DBL SHLD BRAID/FOIL",multi,6,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,6-22awg,0.29,,,,No,
10075-9100-15_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-15,AC        C55535,"CABLE, OVERMOLDED, 6-30 AWG SGL BRAID SHLD",multi,6,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,B,6-30awg,0.16,,,,No,
10075-9100-17_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-17,AC        C55535,"CABLE, OVERMOLDED, 5-24 AWG DBL SHLD BRAID/FOIL",multi,5,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,5-24awg,0.24,,,,No,
10075-9100-18_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-18,AC        C55535,"CABLE, OVERMOLDED, 3-22 AWG DBL SHLD BRAID/FOIL",multi,3,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,3-22awg,0.21,,,,No,
10075-9100-19_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-19,AC        C55535,"CABLE, OVERMOLDED, 2 TW PR & 10 COND 24 AWG",multi,10,2,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E/D,10-24awg 2p-24awg,0.36,,,,No,
10075-9100-21_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-21,AC        C55535,"CABLE, OVERMOLDED, TW PR 24 AWG DBL SHLD",multi,0,1,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,2p-24awg,0.2,,,,No,
10075-9100-22_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-22,AC        C55535,"CABLE, OVERMOLDED, 7-24 AWG FOIL/ BRAID SHLD",multi,7,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,7-24awg,0.325,,,,No,
10075-9100-25_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-25,AC        C55535,"CABLE, OVERMOLD, 9 - 28 AWG DBL SHLD BRAID/FOIL",multi,9,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,9-28awg,,,,,No,
10075-9100-30_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-30,AC        C55535,"CBL, 4 - 20 AWG (10/30) DBL SHLD .290 NOM OD Black",multi,4,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,4-20awg,0.29,,,,No,
10075-9100-34_AC_MfgBOMReport.xls,0,Cable and Wire,10075-9100-34,AC        C55535,CBL DBL SHLD 12 COND 26 AWG (2 COND INDV SHLD),multi,0,6,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,6p-26awg,0.275,,,,No,
10075-9100-39_AE_MfgBOMReport.xls,0,Cable and Wire,10075-9100-39,AE        C66703,"CABLE, OVERMOLD, 8COND RS-232/USB2.0 W/ KEVLAR",,,,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,,0.25,,,,No,
10075-9100-40_AF_MfgBOMReport.xls,0,Cable and Wire,10075-9100-40,AF        C59346,"CABLE, SHLD, 1 SHLD TWT PR 24 AWG, 3 24AWG WIRES",multi,1,2,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,2p-24awg 1-24awg,0.25,,,,No,
10075-9100-41_AF_MfgBOMReport.xls,0,Cable and Wire,10075-9100-41,AF        C59346,CABLE 16 TW PAIR 24AWG SHLD,multi,0,16,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,16p-24awg,0.46,,,,No,
10075-9100-42_AF_MfgBOMReport.xls,0,Cable and Wire,10075-9100-42,AF        C59346,CABLE 8 TW PAIR 24AWG SHLD,multi,0,8,mil-w-22759/18 mil-w-22759/32,Estane 58202 or 58370,E,8p-24awg,0.35,,,,No,
10075-9102-01_A_MfgBOMReport.xls,0,Cable and Wire,10075-9102-01,A        C62615,CABLE OVERMOLDED DBL SHLD 32 COND,,,,,,A,,,,,,No,
10075-9103-01_A_MfgBOMReport.xls,0,Cable and Wire,10075-9103-01,A        C34790,CABLE SHLD 6 COND 30 (7/38) AWG W/KEVLAR CORE,multi,6,,mil-w-22759/18,Estane 58244  or 58202,B,6-30awg,0.155,,,7/38,YES,
10075-9104-01_A_MfgBOMReport.xls,0,Cable and Wire,10075-9104-01,A        C34276,CABLE OVERMOLDED DBL SHLD 13 COND,multi,13,,mil-w-22759/32,Estane 58202,E,,0.3,,,,No,
10075-9105-01_B_MfgBOMReport.xls,0,Cable and Wire,10075-9105-01,B        C65035,CABLE SHLD 28 (7/36) AWG USB 2.0 W/KEVLAR CORE,multi,0,1,,,A,1p-28awg,0.19,,,,YES,
10075-9106-01_-_MfgBOMReport.xls,0,Cable and Wire,10075-9106-01,0,CABLE MULTI-COND SHLD,,,,,,A,,,,,,No,
10075-9107-01_-_MfgBOMReport.xls,0,Cable and Wire,10075-9107-01,0,CBL SHLD COILED 8 COND 24 AWG W/1 PR INDV SHLD,,,,,,A,,,,,,No,
10075-9108-01_-_MfgBOMReport.xls,0,Cable and Wire,10075-9108-01,0,"CABLE, CAT5E AND RS-232, OVRMLD",,,,,,A,,,,,,No,
10075-9109-01_A_MfgBOMReport.xls,0,Cable and Wire,10075-9109-01,A        C65272,"CABLE, 2 CONDUCTOR 20AWG SHIELDED OVERMOLD",multi,2,,mil-w-22759/18,Estane 58244  or 58202,E,2-20awg,0.235,,,,No,
10075-9109-02_B_MfgBOMReport.xls,0,Cable and Wire,10075-9109-02,B        C65272,CABLE 4 COND SHLD 2-22AWG AND 2-14AWG,multi,4,,mil-w-22759/18,Estane 58244  or 58202,E,2-22awg 2-14awg,0.295,,,,No,
10075-9110-01_2_MfgBOMReport.xls,0,Cable and Wire,10075-9110-01,2        C65872,CABLE 16 COND RS-232 (2) 75OHM COAX (3) USB (1),,,,,,A,,,,,,No,
10075-9110-02_2_MfgBOMReport.xls,0,Cable and Wire,10075-9110-02,2        C65872,CABLE 8 COND (2) AUDIO (4) CTRL (1) 120 OHM PAIR,,,,,,A,,,,,,No,
10075-9110-03_2_MfgBOMReport.xls,0,Cable and Wire,10075-9110-03,2        C65872,CABLE 4 COND (1) 90 OHM PR (2) POWER,,,,,,A,,,,,,No,
10075-9110-04_2_MfgBOMReport.xls,0,Cable and Wire,10075-9110-04,2        C65872,CABLE 4 COND ETHERNET (2) 100 OHM PR,,,,,,A,,,,,,No,
10075-9110-05_2_MfgBOMReport.xls,0,Cable and Wire,10075-9110-05,2        C65872,CABLE 75 OHM COAX OVERMOLD,,,,,,A,,,,,,No,
10181-1072_-_MfgBOMReport.xls,0,Cable and Wire,10181-1072,0,"CABLE ASSY, SHLD 16 GA 4 CONDUCTOR",,,,,,A,,,,,,No,
